EventName	 EventLocation	 EventDateTime	 EventPrice	 EventDescription	 EventImage
“Return of the Cypher” Hip-Hop & Beatbox Jam | Boom Boom Room	 Boom Boom Room,| 1601 Fillmore St., San Francisco, CA	 Sunday, June 21, 2015,- 9:00 pm	 | Cost: FREE,	 	 http://sf.funcheap.com
Free Laughter Yoga Class | UCSF	 UCSF Osher Center,| 1545 Divisadero St, 5th Floor, San Francisco, CA	 Wednesday, November 25, 2015,- 5:30 pm to 6:30 pm	 | Cost: FREE,	 2015 Laughter Yoga Class Dates	 http://sf.funcheap.com
Basement Comedy Night: “The People Under The Stairs” | Mission Dist.	 Lost Weekend Video,| 1034 Valencia Street, San Francisco, CA	 Monday, June 15, 2015,- 8:00 pm	 | Cost:,	 Lineup for June includes:
Please Note: The June comedy night will take place on the 3rd Monday, June 15, 2015, and not June 8 as was originally posted.	 http://cdn.funcheap.com/wp-content/uploads/2013/09/nato-green-250x215.jpg
The News: Fresh Queer Performance Series | SoMa	 SOMArts Cultural Center,| 934 Brannan St.  San Francisco, CA 94103	 Tuesday, July 7, 2015,- 7:30 pm to 9:00 pm	 | Cost:,	 	 http://sf.funcheap.com
Free Laughter Yoga Class | UCSF	 UCSF Osher Center,| 1545 Divisadero St, 5th Floor, San Francisco, CA	 Wednesday, July 15, 2015,- 5:30 pm to 6:30 pm	 | Cost: FREE,	 2015 Laughter Yoga Class Dates	 http://sf.funcheap.com
$1 Book Sale | Mission Dist.	 SF Library Treat Ave. Donation Center,| 438 Treat Ave. San Francisco, CA	 Saturday, August 8, 2015,- 10:00 am to 2:00 pm	 | Cost:,	 	 http://sf.funcheap.com
Eco SF School Farm Volunteer Work Day | SF	 The School Farm,| 555 Portola Drive, San Francisco, CA	 Saturday, July 11, 2015,- 12:00 pm to 4:00 pm	 | Cost: FREE,	 	 http://sf.funcheap.com
Prince vs. Michael Jackson DJ Party | NoPa	 Madrone Art Bar,| 500 Divisadero Street, San Francisco, CA 94117	 Saturday, July 4, 2015,- 9:00 pm	 | Cost: $5,	 	 http://sf.funcheap.com
Oceanside Wastewater Treatment Plant Tour | Outer Sunset	 Oceanside Wastewater Treatment Plant,| 3500 Great Hwy, San Francisco, CA	 Saturday, September 12, 2015,- 10:00 am to 12:30 pm	 | Cost:,	 Tours alternate between the
Oceanside Plant
in the Outer Sunset and the
Southeast Plant
in Bayview.	 http://sf.funcheap.com
Basement Comedy Night: “The People Under The Stairs” | Mission Dist.	 Lost Weekend Video,| 1034 Valencia Street, San Francisco, CA	 Monday, August 10, 2015,- 8:00 pm	 | Cost:,	 	 http://sf.funcheap.com
“Up In The Air” Closing Party: Whimsical Wooden Airship Art Project | SF	 Southern Exposure,| 3030 20th Street, San Francisco, CA	 Friday, June 26, 2015,- 6:00 pm to 8:00 pm	 | Cost: FREE,	 	 http://sf.funcheap.com
Live Comedy Show: “Your F!#&ed Up Relationship” | SF	 Stage Werx Theatre,| 446 Valencia St., San Francisco, CA 94103	 Friday, June 19, 2015,- 10:30 pm to 12:00 am	 | Cost:,	 	 http://sf.funcheap.com
Free Astronomy Lecture | Presidio	 Presidio – Observation Post,| 211 Lincoln Boulevard, San Francisco, CA	 Tuesday, June 16, 2015,- 7:00 pm to 9:30 pm	 | Cost: FREE,	 	 http://sf.funcheap.com
Free Sexy Comedy & Pizza Night | SF	 50 Mason Social House,| 50 Mason St., San Francisco, CA	 Saturday, July 11, 2015,- 8:00 pm	 | Cost: FREE,	 	 http://sf.funcheap.com
Live Comedy Show: “Your F!#&ed Up Relationship” | SF	 Stage Werx Theatre,| 446 Valencia St., San Francisco, CA 94103	 Friday, June 26, 2015,- 10:30 pm to 12:00 am	 | Cost:,	 	 http://sf.funcheap.com
History for Half Pints: Family Music & Games | California Historical Society	 California Historical Society,| 678 Mission Street, San Francisco, CA	 Saturday, August 8, 2015,- 12:00 pm to 4:00 pm	 | Cost:,	 	 http://sf.funcheap.com
“Am I Rite?” Free Comedy Night | SF	 The Rite Spot,| 2099 Folsom St., San Francisco, CA	 Monday, June 15, 2015,- 9:00 pm to 11:00 pm	 | Cost: FREE,	 In June you’ll enjoy comedy from:
Headliner, Stroy Moyd 
